1,Neutrogena
2,InstaNatural
3,Alba Botanica
4,Aveeno
5,Philosophy
6,OZ Naturals
7,CeraVe
8,Clean & Clear
9,ArtNaturals
10,Cetaphil
11,Body Merry
12,Bioré
13,Alaffia
14,Maybelline New York
15,e.l.f. Cosmetics
16,L.A. Girl
17,L'Oreal Paris
18,Smashbox
19,Rimmel
20,Wet 'n Wild
21,Revlon
22,Bare Escentuals
23,essence cosmetics
24,Exuviance
25,COVERGIRL
26,Physicians Formula
27,Dermablend
28,Nivea
29,Hempz
30,Lubriderm
31,Advanced Clinicals
32,Eucerin
33,Unknown
34,J.R. Watkins
35,Nivea Men
36,Burt's Bees
37,Vanicream
38,EO
39,Gold Bond
40,Olay
41,The Naked Bee
42,Adamia
43,Jergens
44,Carpe
45,Everyone
46,Kiss My Face
47,Avalon Organics
48,Talar Natural Skin Care
49,Bee Friendly Skincare
50,Baebody
51,LilyAna Naturals
52,Garnier
53,Yeouth
54,Christina Moss Naturals
55,Radha Beauty
56,Cremo
57,Amara Organics
58,Nouvel
59,Maple Holistics
60,Kerastase
61,Fekkai
62,Ultrax Labs
63,Nizoral
64,Paul Mitchell
65,First Botany Cosmeceuticals
66,OGX
67,TIGI Cosmetics
68,Herbal Essences
69,Head & Shoulders
70,PURA D'OR
71,Era Organics
72,TRESemme
73,Pureology
74,Majestic Pure
75,Pantene
